Date;Open;High;Low;Close;Volume;Adj Close
01/02/2011;10281,54981;10891,59961;10245,75;10624,08984;166800;10624,08984
01/03/2011;10676,24023;10768,42969;8227,629883;9755,099609;226300;9755,099609
01/04/2011;9757,280273;9849,740234;9405,19043;9849,740234;157400;9849,740234
02/05/2011;9964,389648;10017,46973;9406,040039;9693,730469;138500;9693,730469
01/06/2011;9708,049805;9849,69043;9318,620117;9816,089844;137500;9816,089844
01/07/2011;9878,69043;10207,91016;9824,339844;9833,030273;129800;9833,030273
01/08/2011;9907,040039;10040,12988;8619,209961;8955,200195;154900;8955,200195
01/09/2011;9017,009766;9098,150391;8359,700195;8700,290039;140600;8700,290039
03/10/2011;8567,980469;9152,389648;8343,009766;8988,389648;125200;8988,389648
01/11/2011;8880,75;8946;8135,790039;8434,610352;120100;8434,610352
01/12/2011;8581,200195;8729,80957;8272,259766;8455,349609;102000;8455,349609
04/01/2012;8549,540039;8911,620117;8349,330078;8802,509766;120600;8802,509766
01/02/2012;8789,05957;9866,410156;8780,099609;9723,240234;173100;9723,240234
01/03/2012;9771,339844;10255,15039;9509,099609;10083,55957;165600;10083,55957
02/04/2012;10161,71973;10190,34961;9388,139648;9520,889648;135600;9520,889648
01/05/2012;9471,660156;9472,25;8455,129883;8542,730469;136900;8542,730469
01/06/2012;8465,469727;9044,040039;8238,959961;9006,780273;128200;9006,780273
02/07/2012;9103,790039;9136,019531;8328,019531;8695,05957;123600;8695,05957
01/08/2012;8622,040039;9222,870117;8513,200195;8839,910156;117100;8839,910156
03/09/2012;8836,610352;9288,530273;8646,030273;8870,160156;133600;8870,160156
01/10/2012;8815,070312;9075,589844;8488,139648;8928,290039;130600;8928,290039
01/11/2012;8931,709961;9492,910156;8619,450195;9446,009766;135500;9446,009766
03/12/2012;9484,200195;10433,62988;9376,969727;10395,17969;191300;10395,17969
04/01/2013;10604,5;11145,37988;10398,61035;11138,66016;242700;11138,66016
01/02/2013;11193,71973;11662,51953;11046,91992;11559,36035;290300;11559,36035
01/03/2013;11464,70996;12650,25977;11464,70996;12397,91016;221600;12397,91016
01/04/2013;12371,33984;13983,87012;11805,78027;13860,86035;307000;13860,86035
01/05/2013;13837,71973;15942,59961;13555,66016;13774,54004;355700;13774,54004
03/06/2013;13551,36035;13724,44043;12415,84961;13677,32031;249400;13677,32031
01/07/2013;13746,71973;14953,29004;13562,7002;13668,32031;196800;13668,32031
01/08/2013;13674,5;14466,16016;13188,13965;13388,86035;150600;13388,86035
02/09/2013;13438,07031;14817,5;13407,53027;14455,79981;153200;14455,79981
01/10/2013;14517,98047;14799,28027;13748,94043;14327,94043;141400;14327,94043
01/11/2013;14403,07031;15729,08984;14026,16992;15661,87012;166700;15661,87012
02/12/2013;15659,74023;16320,21973;15112,54004;16291,30957;158700;16291,30957
06/01/2014;16147,54004;16164,00977;14764,57031;14914,53027;197600;14914,53027
03/02/2014;14788,55957;15094,54004;13995,86035;14841,07031;186800;14841,07031
03/03/2014;14666,92969;15312,59961;14203,20996;14827,83008;157600;14827,83008
01/04/2014;14870,50977;15164,38965;13885,11035;14304,11035;122700;14304,11035
01/05/2014;14341,08984;14744,16016;13964,42969;14632,37988;130200;14632,37988
02/06/2014;14777,50977;15442,66992;14777,50977;15162,09961;134100;15162,09961
01/07/2014;15179,63965;15759,66016;15101,49023;15620,76953;113900;15620,76953
01/08/2014;15511,54004;15628,78027;14753,83984;15424,58984;114800;15424,58984
01/09/2014;15454,58984;16374,13965;15440,99023;16173,51953;127700;16173,51953
01/10/2014;16173,38965;16533,91016;14529,03027;16413,75977;161000;16413,75977
04/11/2014;16732,84961;17520,53906;16713,36914;17459,84961;173900;17459,84961
01/12/2014;17475,09961;18030,83008;16672,93945;17450,76953;134600;17450,76953
02/01/2015;17702,11914;17850,58984;16592,57031;17674,39063;141700;17674,39063
02/02/2015;17536,60938;18865,39063;17271,86914;18797,93945;154300;18797,93945
02/03/2015;18869,40039;19775,44922;18577,06055;19206,99023;148700;19206,99023
01/04/2015;19129,75;20252,11914;18927,94922;19520,00977;151300;19520,00977
01/05/2015;19510,84961;20655,33008;19257,84961;20563,15039;172600;20563,15039
01/06/2015;20444,53906;20952,71094;19990,55078;20235,73047;161400;20235,73047
01/07/2015;20291,05078;20850;19115,19922;20585,24023;155500;20585,24023
03/08/2015;20540,21094;20946,92969;17714,30078;18890,48047;184600;18890,48047
01/09/2015;18763,7207;18777,4707;16901,49023;17388,15039;168700;17388,15039
